sample,usr,sys,iowait,soft,steal,idle,date,hour
1,"51,57","2,02","0,26","1,36",0,"44,78",06-10-2021,21:23:43
2,"52,22",2,"0,26","1,34",0,"44,17",06-10-2021,21:23:53
3,"52,86","1,98","0,25","1,33",0,"43,57",06-10-2021,21:24:03
4,"53,48","1,97","0,25","1,31",0,"42,99",06-10-2021,21:24:14
5,"54,08","1,95","0,25","1,29",0,"42,42",06-10-2021,21:24:24
6,"54,66","1,94","0,24","1,27",0,"41,87",06-10-2021,21:24:34
7,"55,24","1,92","0,24","1,26",0,"41,33",06-10-2021,21:24:44
8,"55,79","1,91","0,24","1,24",0,"40,81",06-10-2021,21:24:54
9,"56,34","1,9","0,23","1,23",0,"40,3",06-10-2021,21:25:04
10,"56,86","1,88","0,23","1,21",0,"39,8",06-10-2021,21:25:14
11,"57,38","1,87","0,23","1,2",0,"39,32",06-10-2021,21:25:24
12,"57,88","1,85","0,22","1,18",0,"38,84",06-10-2021,21:25:35
13,"58,37","1,84","0,22","1,17",0,"38,38",06-10-2021,21:25:45
14,"58,86","1,83","0,22","1,15",0,"37,93",06-10-2021,21:25:55
15,"59,32","1,82","0,22","1,14",0,"37,49",06-10-2021,21:26:05
16,"59,78","1,81","0,21","1,13",0,"37,06",06-10-2021,21:26:15
17,"60,23","1,79","0,21","1,11",0,"36,64",06-10-2021,21:26:25
18,"60,67","1,78","0,21","1,1",0,"36,23",06-10-2021,21:26:35
19,"61,09","1,77","0,21","1,09",0,"35,83",06-10-2021,21:26:45
20,"61,51","1,76","0,2","1,08",0,"35,43",06-10-2021,21:26:55
21,"61,92","1,75","0,2","1,07",0,"35,05",06-10-2021,21:27:06
22,"62,32","1,75","0,2","1,05",0,"34,67",06-10-2021,21:27:16
23,"62,71","1,74","0,2","1,04",0,"34,3",06-10-2021,21:27:26
24,"63,09","1,73","0,2","1,03",0,"33,94",06-10-2021,21:27:36
25,"63,47","1,72","0,19","1,02",0,"33,59",06-10-2021,21:27:46
26,"63,83","1,72","0,19","1,01",0,"33,24",06-10-2021,21:27:56
27,"64,19","1,71","0,19",1,0,"32,9",06-10-2021,21:28:06
28,"64,53","1,71","0,19","0,99",0,"32,57",06-10-2021,21:28:16
29,"64,88","1,7","0,19","0,98",0,"32,24",06-10-2021,21:28:26
30,"65,22","1,69","0,18","0,97",0,"31,93",06-10-2021,21:28:37
31,"72,24","1,5","0,14","0,8",0,"25,31",06-10-2021,21:34:01
32,"72,44","1,49","0,14","0,79",0,"25,12",06-10-2021,21:34:11
33,"72,64","1,49","0,14","0,79",0,"24,94",06-10-2021,21:34:21
34,"72,84","1,48","0,14","0,78",0,"24,76",06-10-2021,21:34:31
35,"73,03","1,48","0,14","0,77",0,"24,58",06-10-2021,21:34:42
36,"73,22","1,47","0,14","0,77",0,"24,4",06-10-2021,21:34:52
37,"73,4","1,47","0,13","0,76",0,"24,22",06-10-2021,21:35:02
38,"73,59","1,46","0,13","0,76",0,"24,05",06-10-2021,21:35:12
39,"73,77","1,46","0,13","0,75",0,"23,88",06-10-2021,21:35:22
40,"73,95","1,45","0,13","0,75",0,"23,71",06-10-2021,21:35:32
41,"74,12","1,45","0,13","0,74",0,"23,55",06-10-2021,21:35:42
42,"74,3","1,44","0,13","0,74",0,"23,39",06-10-2021,21:35:52
43,"74,47","1,44","0,13","0,73",0,"23,23",06-10-2021,21:36:02
44,"74,63","1,44","0,13","0,73",0,"23,07",06-10-2021,21:36:13
45,"74,8","1,43","0,13","0,72",0,"22,91",06-10-2021,21:36:23
46,"74,96","1,43","0,13","0,72",0,"22,76",06-10-2021,21:36:33
47,"75,13","1,42","0,13","0,71",0,"22,61",06-10-2021,21:36:43
48,"75,29","1,42","0,13","0,71",0,"22,45",06-10-2021,21:36:53
49,"75,44","1,42","0,12","0,7",0,"22,31",06-10-2021,21:37:03
50,"75,6","1,41","0,12","0,7",0,"22,16",06-10-2021,21:37:13
51,"75,75","1,41","0,12","0,69",0,"22,02",06-10-2021,21:37:23
52,"75,9","1,4","0,12","0,69",0,"21,88",06-10-2021,21:37:33
53,"76,05","1,4","0,12","0,69",0,"21,74",06-10-2021,21:37:44
54,"76,2","1,4","0,12","0,68",0,"21,6",06-10-2021,21:37:54
55,"76,34","1,4","0,12","0,68",0,"21,46",06-10-2021,21:38:04
56,"76,49","1,39","0,12","0,67",0,"21,33",06-10-2021,21:38:14
57,"76,63","1,39","0,12","0,67",0,"21,19",06-10-2021,21:38:24
58,"76,77","1,39","0,12","0,66",0,"21,06",06-10-2021,21:38:34
59,"76,9","1,38","0,12","0,66",0,"20,93",06-10-2021,21:38:44
60,"77,04","1,38","0,12","0,66",0,"20,8",06-10-2021,21:38:54
61,"80,04","1,32","0,1","0,58",0,"17,96",06-10-2021,21:44:14
62,"80,14","1,32","0,1","0,57",0,"17,87",06-10-2021,21:44:24
63,"80,23","1,32","0,1","0,57",0,"17,77",06-10-2021,21:44:34
64,"80,32","1,32","0,1","0,57",0,"17,68",06-10-2021,21:44:44
65,"80,42","1,32","0,1","0,56",0,"17,6",06-10-2021,21:44:54
66,"80,51","1,32","0,1","0,56",0,"17,51",06-10-2021,21:45:04
67,"80,6","1,32","0,09","0,56",0,"17,42",06-10-2021,21:45:15
68,"80,69","1,32","0,09","0,56",0,"17,33",06-10-2021,21:45:25
69,"80,78","1,32","0,09","0,55",0,"17,25",06-10-2021,21:45:35
70,"80,87","1,32","0,09","0,55",0,"17,16",06-10-2021,21:45:45
71,"80,95","1,32","0,09","0,55",0,"17,08",06-10-2021,21:45:55
72,"81,04","1,32","0,09","0,55",0,17,06-10-2021,21:46:05
73,"81,12","1,32","0,09","0,54",0,"16,91",06-10-2021,21:46:15
74,"81,21","1,32","0,09","0,54",0,"16,83",06-10-2021,21:46:25
75,"81,29","1,32","0,09","0,54",0,"16,75",06-10-2021,21:46:36
76,"81,38","1,32","0,09","0,53",0,"16,67",06-10-2021,21:46:46
77,"81,46","1,32","0,09","0,53",0,"16,59",06-10-2021,21:46:56
78,"81,54","1,32","0,09","0,53",0,"16,51",06-10-2021,21:47:06
