sample usr sys iowait soft steal idle date hour
1 72,24 1,50 0,14 0,80 0,00 25,31 06-10-2021 21:34:01
2 72,44 1,49 0,14 0,79 0,00 25,12 06-10-2021 21:34:11
3 72,64 1,49 0,14 0,79 0,00 24,94 06-10-2021 21:34:21
4 72,84 1,48 0,14 0,78 0,00 24,76 06-10-2021 21:34:31
5 73,03 1,48 0,14 0,77 0,00 24,58 06-10-2021 21:34:42
6 73,22 1,47 0,14 0,77 0,00 24,40 06-10-2021 21:34:52
7 73,40 1,47 0,13 0,76 0,00 24,22 06-10-2021 21:35:02
8 73,59 1,46 0,13 0,76 0,00 24,05 06-10-2021 21:35:12
9 73,77 1,46 0,13 0,75 0,00 23,88 06-10-2021 21:35:22
10 73,95 1,45 0,13 0,75 0,00 23,71 06-10-2021 21:35:32
11 74,12 1,45 0,13 0,74 0,00 23,55 06-10-2021 21:35:42
12 74,30 1,44 0,13 0,74 0,00 23,39 06-10-2021 21:35:52
13 74,47 1,44 0,13 0,73 0,00 23,23 06-10-2021 21:36:02
14 74,63 1,44 0,13 0,73 0,00 23,07 06-10-2021 21:36:13
15 74,80 1,43 0,13 0,72 0,00 22,91 06-10-2021 21:36:23
16 74,96 1,43 0,13 0,72 0,00 22,76 06-10-2021 21:36:33
17 75,13 1,42 0,13 0,71 0,00 22,61 06-10-2021 21:36:43
18 75,29 1,42 0,13 0,71 0,00 22,45 06-10-2021 21:36:53
19 75,44 1,42 0,12 0,70 0,00 22,31 06-10-2021 21:37:03
20 75,60 1,41 0,12 0,70 0,00 22,16 06-10-2021 21:37:13
21 75,75 1,41 0,12 0,69 0,00 22,02 06-10-2021 21:37:23
22 75,90 1,40 0,12 0,69 0,00 21,88 06-10-2021 21:37:33
23 76,05 1,40 0,12 0,69 0,00 21,74 06-10-2021 21:37:44
24 76,20 1,40 0,12 0,68 0,00 21,60 06-10-2021 21:37:54
25 76,34 1,40 0,12 0,68 0,00 21,46 06-10-2021 21:38:04
26 76,49 1,39 0,12 0,67 0,00 21,33 06-10-2021 21:38:14
27 76,63 1,39 0,12 0,67 0,00 21,19 06-10-2021 21:38:24
28 76,77 1,39 0,12 0,66 0,00 21,06 06-10-2021 21:38:34
29 76,90 1,38 0,12 0,66 0,00 20,93 06-10-2021 21:38:44
30 77,04 1,38 0,12 0,66 0,00 20,80 06-10-2021 21:38:54
