sample,usr,sys,iowait,soft,steal,idle,date,hour
1,"18,38","2,63","0,44","2,31",0,"76,21",06-10-2021,21:18:40
2,"20,22","2,62","0,43","2,26",0,"74,45",06-10-2021,21:18:50
3,"21,99","2,62","0,42","2,21",0,"72,75",06-10-2021,21:19:00
4,"23,67","2,62","0,41","2,16",0,"71,13",06-10-2021,21:19:10
5,"25,28","2,61","0,4","2,11",0,"69,58",06-10-2021,21:19:20
6,"26,81","2,62","0,4","2,06",0,"68,1",06-10-2021,21:19:31
7,"28,32","2,59","0,39","2,02",0,"66,67",06-10-2021,21:19:41
8,"29,77","2,55","0,38","1,98",0,"65,3",06-10-2021,21:19:51
9,"31,16","2,51","0,37","1,94",0,64,06-10-2021,21:20:01
10,"32,5","2,48","0,36","1,9",0,"62,74",06-10-2021,21:20:11
11,"33,78","2,45","0,36","1,86",0,"61,53",06-10-2021,21:20:21
12,"35,02","2,42","0,35","1,83",0,"60,37",06-10-2021,21:20:31
13,"36,21","2,39","0,34","1,8",0,"59,24",06-10-2021,21:20:41
14,"37,36","2,36","0,34","1,76",0,"58,17",06-10-2021,21:20:51
15,"38,47","2,33","0,33","1,73",0,"57,12",06-10-2021,21:21:02
16,"39,53","2,31","0,33","1,7",0,"56,12",06-10-2021,21:21:12
17,"40,56","2,28","0,32","1,67",0,"55,15",06-10-2021,21:21:22
18,"41,55","2,26","0,32","1,64",0,"54,22",06-10-2021,21:21:32
19,"42,51","2,23","0,31","1,62",0,"53,31",06-10-2021,21:21:42
20,"43,45","2,21","0,3","1,59",0,"52,43",06-10-2021,21:21:52
21,"44,35","2,19","0,3","1,56",0,"51,59",06-10-2021,21:22:02
22,"45,21","2,17","0,3","1,54",0,"50,77",06-10-2021,21:22:12
23,"46,06","2,15","0,29","1,51",0,"49,98",06-10-2021,21:22:22
24,"46,87","2,13","0,29","1,49",0,"49,21",06-10-2021,21:22:33
25,"47,66","2,12","0,28","1,47",0,"48,46",06-10-2021,21:22:43
26,"48,42","2,1","0,28","1,45",0,"47,74",06-10-2021,21:22:53
27,"49,17","2,09","0,27","1,43",0,"47,03",06-10-2021,21:23:03
28,"49,89","2,07","0,27","1,41",0,"46,35",06-10-2021,21:23:13
29,"50,6","2,05","0,27","1,39",0,"45,69",06-10-2021,21:23:23
30,"51,28","2,03","0,26","1,37",0,"45,04",06-10-2021,21:23:33
31,"64,72","1,68","0,18","1,02",0,"32,39",06-10-2021,21:28:58
32,"65,04","1,68","0,18","1,01",0,"32,08",06-10-2021,21:29:08
33,"65,36","1,67","0,18",1,0,"31,78",06-10-2021,21:29:18
34,"65,68","1,67","0,18","0,99",0,"31,48",06-10-2021,21:29:28
35,"65,99","1,66","0,18","0,98",0,"31,18",06-10-2021,21:29:38
36,"66,29","1,66","0,17","0,97",0,"30,89",06-10-2021,21:29:48
37,"66,6","1,65","0,17","0,96",0,"30,61",06-10-2021,21:29:58
