sample usr sys iowait soft steal idle date hour
1 18,38 2,63 0,44 2,31 0,00 76,21 06-10-2021 21:18:40
2 20,22 2,62 0,43 2,26 0,00 74,45 06-10-2021 21:18:50
3 21,99 2,62 0,42 2,21 0,00 72,75 06-10-2021 21:19:00
4 23,67 2,62 0,41 2,16 0,00 71,13 06-10-2021 21:19:10
5 25,28 2,61 0,40 2,11 0,00 69,58 06-10-2021 21:19:20
6 26,81 2,62 0,40 2,06 0,00 68,10 06-10-2021 21:19:31
7 28,32 2,59 0,39 2,02 0,00 66,67 06-10-2021 21:19:41
8 29,77 2,55 0,38 1,98 0,00 65,30 06-10-2021 21:19:51
9 31,16 2,51 0,37 1,94 0,00 64,00 06-10-2021 21:20:01
10 32,50 2,48 0,36 1,90 0,00 62,74 06-10-2021 21:20:11
11 33,78 2,45 0,36 1,86 0,00 61,53 06-10-2021 21:20:21
12 35,02 2,42 0,35 1,83 0,00 60,37 06-10-2021 21:20:31
13 36,21 2,39 0,34 1,80 0,00 59,24 06-10-2021 21:20:41
14 37,36 2,36 0,34 1,76 0,00 58,17 06-10-2021 21:20:51
15 38,47 2,33 0,33 1,73 0,00 57,12 06-10-2021 21:21:02
16 39,53 2,31 0,33 1,70 0,00 56,12 06-10-2021 21:21:12
17 40,56 2,28 0,32 1,67 0,00 55,15 06-10-2021 21:21:22
18 41,55 2,26 0,32 1,64 0,00 54,22 06-10-2021 21:21:32
19 42,51 2,23 0,31 1,62 0,00 53,31 06-10-2021 21:21:42
20 43,45 2,21 0,30 1,59 0,00 52,43 06-10-2021 21:21:52
21 44,35 2,19 0,30 1,56 0,00 51,59 06-10-2021 21:22:02
22 45,21 2,17 0,30 1,54 0,00 50,77 06-10-2021 21:22:12
23 46,06 2,15 0,29 1,51 0,00 49,98 06-10-2021 21:22:22
24 46,87 2,13 0,29 1,49 0,00 49,21 06-10-2021 21:22:33
25 47,66 2,12 0,28 1,47 0,00 48,46 06-10-2021 21:22:43
26 48,42 2,10 0,28 1,45 0,00 47,74 06-10-2021 21:22:53
27 49,17 2,09 0,27 1,43 0,00 47,03 06-10-2021 21:23:03
28 49,89 2,07 0,27 1,41 0,00 46,35 06-10-2021 21:23:13
29 50,60 2,05 0,27 1,39 0,00 45,69 06-10-2021 21:23:23
30 51,28 2,03 0,26 1,37 0,00 45,04 06-10-2021 21:23:33
