sample usr sys iowait soft steal idle date hour
1 76,76 1,38 0,12 0,68 0,00 21,07 06-10-2021 21:39:11
2 76,89 1,38 0,11 0,67 0,00 20,94 06-10-2021 21:39:21
3 77,02 1,38 0,11 0,67 0,00 20,81 06-10-2021 21:39:31
4 77,16 1,37 0,11 0,66 0,00 20,69 06-10-2021 21:39:41
5 77,28 1,37 0,11 0,66 0,00 20,57 06-10-2021 21:39:51
6 77,41 1,37 0,11 0,66 0,00 20,44 06-10-2021 21:40:01
7 77,54 1,37 0,11 0,65 0,00 20,32 06-10-2021 21:40:11
8 77,67 1,36 0,11 0,65 0,00 20,21 06-10-2021 21:40:21
9 77,79 1,36 0,11 0,64 0,00 20,09 06-10-2021 21:40:32
10 77,91 1,36 0,11 0,64 0,00 19,97 06-10-2021 21:40:42
11 78,03 1,36 0,11 0,64 0,00 19,86 06-10-2021 21:40:52
12 78,15 1,35 0,11 0,63 0,00 19,75 06-10-2021 21:41:02
13 78,27 1,35 0,11 0,63 0,00 19,63 06-10-2021 21:41:12
14 78,39 1,35 0,11 0,63 0,00 19,52 06-10-2021 21:41:22
15 78,51 1,34 0,11 0,62 0,00 19,41 06-10-2021 21:41:32
16 78,63 1,34 0,11 0,62 0,00 19,31 06-10-2021 21:41:42
17 78,74 1,34 0,10 0,62 0,00 19,20 06-10-2021 21:41:53
18 78,85 1,33 0,10 0,61 0,00 19,09 06-10-2021 21:42:03
19 78,96 1,33 0,10 0,61 0,00 18,99 06-10-2021 21:42:13
20 79,07 1,33 0,10 0,61 0,00 18,89 06-10-2021 21:42:23
21 79,18 1,33 0,10 0,60 0,00 18,78 06-10-2021 21:42:33
22 79,28 1,33 0,10 0,60 0,00 18,68 06-10-2021 21:42:43
23 79,39 1,33 0,10 0,60 0,00 18,58 06-10-2021 21:42:53
24 79,49 1,33 0,10 0,59 0,00 18,48 06-10-2021 21:43:03
25 79,59 1,33 0,10 0,59 0,00 18,39 06-10-2021 21:43:13
26 79,69 1,33 0,10 0,59 0,00 18,29 06-10-2021 21:43:24
27 79,79 1,33 0,10 0,58 0,00 18,19 06-10-2021 21:43:34
28 79,89 1,33 0,10 0,58 0,00 18,10 06-10-2021 21:43:44
29 79,99 1,32 0,10 0,58 0,00 18,00 06-10-2021 21:43:54
30 80,09 1,32 0,10 0,57 0,00 17,91 06-10-2021 21:44:04
