sample,usr,sys,iowait,soft,steal,idle,date,hour
1,"28,57","1,56","0,09","0,82",0,"68,96",07-10-2021,00:30:38
2,"28,63","1,56","0,09","0,82",0,"68,9",07-10-2021,00:30:49
3,"28,69","1,56","0,09","0,82",0,"68,85",07-10-2021,00:30:59
4,"28,75","1,56","0,09","0,82",0,"68,79",07-10-2021,00:31:09
5,"28,81","1,56","0,09","0,81",0,"68,73",07-10-2021,00:31:19
6,"28,86","1,56","0,09","0,81",0,"68,67",07-10-2021,00:31:29
7,"28,92","1,56","0,09","0,81",0,"68,61",07-10-2021,00:31:39
8,"28,98","1,56","0,09","0,81",0,"68,56",07-10-2021,00:31:49
9,"29,04","1,56","0,09","0,81",0,"68,5",07-10-2021,00:31:59
10,"29,1","1,56","0,08","0,81",0,"68,44",07-10-2021,00:32:09
11,"29,16","1,56","0,08","0,81",0,"68,39",07-10-2021,00:32:20
12,"29,22","1,56","0,08","0,81",0,"68,33",07-10-2021,00:32:30
13,"29,28","1,56","0,08","0,81",0,"68,27",07-10-2021,00:32:40
14,"29,34","1,56","0,08","0,81",0,"68,21",07-10-2021,00:32:50
15,"29,39","1,56","0,08","0,81",0,"68,16",07-10-2021,00:33:00
16,"29,45","1,55","0,08","0,81",0,"68,1",07-10-2021,00:33:10
17,"29,51","1,55","0,08","0,81",0,"68,04",07-10-2021,00:33:20
18,"29,57","1,55","0,08","0,81",0,"67,99",07-10-2021,00:33:30
19,"29,63","1,55","0,08","0,81",0,"67,93",07-10-2021,00:33:40
20,"29,68","1,55","0,08","0,8",0,"67,88",07-10-2021,00:33:51
21,"29,74","1,55","0,08","0,8",0,"67,82",07-10-2021,00:34:01
22,"29,8","1,55","0,08","0,8",0,"67,76",07-10-2021,00:34:11
23,"29,86","1,55","0,08","0,8",0,"67,71",07-10-2021,00:34:21
24,"29,91","1,55","0,08","0,8",0,"67,65",07-10-2021,00:34:31
25,"29,97","1,55","0,08","0,8",0,"67,59",07-10-2021,00:34:41
26,"30,03","1,55","0,08","0,8",0,"67,54",07-10-2021,00:34:51
27,"30,09","1,55","0,08","0,8",0,"67,48",07-10-2021,00:35:01
28,"30,14","1,55","0,08","0,8",0,"67,43",07-10-2021,00:35:11
29,"30,2","1,55","0,08","0,8",0,"67,37",07-10-2021,00:35:22
30,"30,26","1,54","0,08","0,8",0,"67,32",07-10-2021,00:35:32
31,"30,29","1,54","0,08","0,8",0,"67,29",07-10-2021,00:35:42
32,"30,34","1,54","0,08","0,8",0,"67,23",07-10-2021,00:35:52
33,"30,4","1,54","0,08","0,8",0,"67,18",07-10-2021,00:36:02
34,"30,46","1,54","0,08","0,8",0,"67,12",07-10-2021,00:36:12
35,"30,51","1,54","0,08","0,79",0,"67,07",07-10-2021,00:36:22
36,"30,57","1,54","0,08","0,79",0,"67,01",07-10-2021,00:36:32
37,"30,63","1,54","0,08","0,79",0,"66,96",07-10-2021,00:36:42
