sample,usr,sys,iowait,soft,steal,idle,date,hour
1,"23,43","1,65","0,09","0,9",0,"73,93",07-10-2021,00:10:29
2,"23,5","1,65","0,09","0,9",0,"73,86",07-10-2021,00:10:39
3,"23,57","1,65","0,09","0,9",0,"73,79",07-10-2021,00:10:49
4,"23,64","1,65","0,09","0,9",0,"73,72",07-10-2021,00:10:59
5,"23,71","1,65","0,09","0,9",0,"73,65",07-10-2021,00:11:09
6,"23,78","1,64","0,09","0,89",0,"73,58",07-10-2021,00:11:19
7,"23,85","1,64","0,09","0,89",0,"73,52",07-10-2021,00:11:29
8,"23,92","1,64","0,09","0,89",0,"73,45",07-10-2021,00:11:39
9,"23,99","1,64","0,09","0,89",0,"73,38",07-10-2021,00:11:50
10,"24,06","1,64","0,09","0,89",0,"73,31",07-10-2021,00:12:00
11,"24,13","1,64","0,09","0,89",0,"73,24",07-10-2021,00:12:10
12,"24,2","1,64","0,09","0,89",0,"73,18",07-10-2021,00:12:20
13,"24,27","1,64","0,09","0,89",0,"73,11",07-10-2021,00:12:30
14,"24,34","1,64","0,09","0,89",0,"73,04",07-10-2021,00:12:40
15,"24,41","1,64","0,09","0,89",0,"72,97",07-10-2021,00:12:50
16,"24,48","1,64","0,09","0,89",0,"72,9",07-10-2021,00:13:00
17,"24,55","1,63","0,09","0,89",0,"72,84",07-10-2021,00:13:10
18,"24,62","1,63","0,09","0,88",0,"72,77",07-10-2021,00:13:21
19,"24,69","1,63","0,09","0,88",0,"72,7",07-10-2021,00:13:31
20,"24,76","1,63","0,09","0,88",0,"72,64",07-10-2021,00:13:41
21,"24,82","1,63","0,09","0,88",0,"72,57",07-10-2021,00:13:51
22,"24,89","1,63","0,09","0,88",0,"72,5",07-10-2021,00:14:01
23,"24,96","1,63","0,09","0,88",0,"72,44",07-10-2021,00:14:11
24,"25,03","1,63","0,09","0,88",0,"72,37",07-10-2021,00:14:21
25,"25,1","1,63","0,09","0,88",0,"72,3",07-10-2021,00:14:31
