sample usr sys iowait soft steal idle temp date hour
1 24,97 4,51 0,42 1,00 0,00 69,10 58.0 13-10-2021 19:02:55
2 25,10 4,51 0,42 0,99 0,00 68,97 75.0 13-10-2021 19:03:05
3 25,24 4,51 0,42 0,99 0,00 68,84 77.0 13-10-2021 19:03:15
4 25,37 4,50 0,42 0,99 0,00 68,71 77.0 13-10-2021 19:03:25
5 25,51 4,50 0,42 0,99 0,00 68,58 77.0 13-10-2021 19:03:36
6 25,64 4,50 0,42 0,99 0,00 68,45 78.0 13-10-2021 19:03:46
7 25,77 4,50 0,42 0,98 0,00 68,32 78.0 13-10-2021 19:03:56
8 25,91 4,49 0,42 0,98 0,00 68,20 77.0 13-10-2021 19:04:06
9 26,04 4,49 0,42 0,98 0,00 68,07 76.0 13-10-2021 19:04:16
10 26,17 4,48 0,42 0,98 0,00 67,94 78.0 13-10-2021 19:04:26
11 26,31 4,48 0,41 0,98 0,00 67,82 78.0 13-10-2021 19:04:36
12 26,44 4,47 0,41 0,98 0,00 67,69 78.0 13-10-2021 19:04:46
1 27,98 4,44 0,40 0,96 0,00 66,22 64.0 13-10-2021 19:07:38
2 28,10 4,43 0,40 0,96 0,00 66,10 75.0 13-10-2021 19:07:48
3 28,23 4,43 0,40 0,95 0,00 65,98 75.0 13-10-2021 19:07:58
4 28,35 4,42 0,40 0,95 0,00 65,87 76.0 13-10-2021 19:08:08
5 28,48 4,42 0,40 0,95 0,00 65,75 78.0 13-10-2021 19:08:19
6 28,60 4,41 0,40 0,95 0,00 65,63 77.0 13-10-2021 19:08:29
7 28,73 4,41 0,40 0,95 0,00 65,51 77.0 13-10-2021 19:08:39
8 28,85 4,40 0,40 0,95 0,00 65,40 77.0 13-10-2021 19:08:49
9 28,97 4,40 0,40 0,94 0,00 65,28 78.0 13-10-2021 19:08:59
10 29,10 4,39 0,40 0,94 0,00 65,17 78.0 13-10-2021 19:09:09
11 29,22 4,39 0,39 0,94 0,00 65,05 77.0 13-10-2021 19:09:19
12 29,34 4,38 0,39 0,94 0,00 64,94 78.0 13-10-2021 19:09:30
1 30,70 4,35 0,38 0,93 0,00 63,64 52.0 13-10-2021 19:12:21
2 30,82 4,34 0,38 0,92 0,00 63,53 73.0 13-10-2021 19:12:31
3 30,93 4,34 0,38 0,92 0,00 63,42 73.0 13-10-2021 19:12:41
4 31,04 4,34 0,38 0,92 0,00 63,31 74.0 13-10-2021 19:12:52
5 31,16 4,33 0,38 0,92 0,00 63,21 75.0 13-10-2021 19:13:02
6 31,27 4,33 0,38 0,92 0,00 63,10 75.0 13-10-2021 19:13:12
7 31,38 4,32 0,38 0,92 0,00 62,99 75.0 13-10-2021 19:13:22
8 31,49 4,32 0,38 0,92 0,00 62,89 75.0 13-10-2021 19:13:32
9 31,61 4,32 0,38 0,91 0,00 62,78 75.0 13-10-2021 19:13:42
10 31,72 4,32 0,38 0,91 0,00 62,67 74.0 13-10-2021 19:13:52
11 31,83 4,31 0,38 0,91 0,00 62,57 75.0 13-10-2021 19:14:02
12 31,94 4,31 0,38 0,91 0,00 62,46 75.0 13-10-2021 19:14:13
1 33,18 4,27 0,37 0,90 0,00 61,28 56.0 13-10-2021 19:17:04
2 33,29 4,27 0,37 0,90 0,00 61,18 76.0 13-10-2021 19:17:14
3 33,39 4,26 0,37 0,89 0,00 61,08 77.0 13-10-2021 19:17:24
4 33,50 4,26 0,36 0,89 0,00 60,98 78.0 13-10-2021 19:17:35
5 33,60 4,26 0,36 0,89 0,00 60,88 77.0 13-10-2021 19:17:45
6 33,71 4,25 0,36 0,89 0,00 60,78 77.0 13-10-2021 19:17:55
7 33,81 4,25 0,36 0,89 0,00 60,69 78.0 13-10-2021 19:18:05
8 33,92 4,24 0,36 0,89 0,00 60,59 78.0 13-10-2021 19:18:15
9 34,02 4,24 0,36 0,89 0,00 60,49 78.0 13-10-2021 19:18:25
10 34,12 4,23 0,36 0,88 0,00 60,39 79.0 13-10-2021 19:18:35
11 34,23 4,23 0,36 0,88 0,00 60,30 79.0 13-10-2021 19:18:45
12 34,33 4,23 0,36 0,88 0,00 60,20 78.0 13-10-2021 19:18:56
1 35,44 4,17 0,35 0,87 0,00 59,16 56.0 13-10-2021 19:21:47
2 35,54 4,17 0,35 0,87 0,00 59,06 76.0 13-10-2021 19:21:57
3 35,64 4,16 0,35 0,87 0,00 58,97 78.0 13-10-2021 19:22:07
4 35,74 4,16 0,35 0,87 0,00 58,88 78.0 13-10-2021 19:22:18
5 35,84 4,15 0,35 0,87 0,00 58,79 77.0 13-10-2021 19:22:28
6 35,93 4,15 0,35 0,87 0,00 58,70 76.0 13-10-2021 19:22:38
7 36,03 4,15 0,35 0,87 0,00 58,61 77.0 13-10-2021 19:22:48
8 36,12 4,15 0,35 0,86 0,00 58,52 78.0 13-10-2021 19:22:58
9 36,21 4,14 0,35 0,86 0,00 58,43 78.0 13-10-2021 19:23:08
10 36,31 4,14 0,35 0,86 0,00 58,34 78.0 13-10-2021 19:23:18
11 36,40 4,14 0,35 0,86 0,00 58,25 78.0 13-10-2021 19:23:29
12 36,50 4,14 0,34 0,86 0,00 58,16 78.0 13-10-2021 19:23:39
1 37,52 4,13 0,34 0,85 0,00 57,17 61.0 13-10-2021 19:26:30
2 37,61 4,13 0,34 0,85 0,00 57,08 79.0 13-10-2021 19:26:40
3 37,70 4,12 0,34 0,84 0,00 57,00 79.0 13-10-2021 19:26:51
4 37,78 4,12 0,34 0,84 0,00 56,91 79.0 13-10-2021 19:27:01
5 37,87 4,12 0,33 0,84 0,00 56,83 78.0 13-10-2021 19:27:11
6 37,96 4,12 0,33 0,84 0,00 56,74 79.0 13-10-2021 19:27:21
7 38,05 4,11 0,33 0,84 0,00 56,66 78.0 13-10-2021 19:27:31
8 38,14 4,11 0,33 0,84 0,00 56,58 78.0 13-10-2021 19:27:41
9 38,23 4,11 0,33 0,84 0,00 56,49 77.0 13-10-2021 19:27:51
10 38,31 4,10 0,33 0,84 0,00 56,41 77.0 13-10-2021 19:28:02
11 38,40 4,10 0,33 0,83 0,00 56,33 77.0 13-10-2021 19:28:12
12 38,49 4,10 0,33 0,83 0,00 56,24 77.0 13-10-2021 19:28:22
1 39,42 4,08 0,32 0,82 0,00 55,35 58.0 13-10-2021 19:31:13
2 39,50 4,08 0,32 0,82 0,00 55,27 77.0 13-10-2021 19:31:24
3 39,59 4,08 0,32 0,82 0,00 55,19 78.0 13-10-2021 19:31:34
4 39,67 4,07 0,32 0,82 0,00 55,11 79.0 13-10-2021 19:31:44
5 39,75 4,07 0,32 0,82 0,00 55,03 79.0 13-10-2021 19:31:54
6 39,83 4,07 0,32 0,82 0,00 54,95 78.0 13-10-2021 19:32:04
7 39,91 4,07 0,32 0,82 0,00 54,88 78.0 13-10-2021 19:32:14
8 39,99 4,07 0,32 0,81 0,00 54,80 78.0 13-10-2021 19:32:24
9 40,07 4,07 0,32 0,81 0,00 54,72 80.0 13-10-2021 19:32:35
10 40,16 4,06 0,32 0,81 0,00 54,64 78.0 13-10-2021 19:32:45
11 40,24 4,06 0,32 0,81 0,00 54,57 78.0 13-10-2021 19:32:55
12 40,32 4,06 0,32 0,81 0,00 54,49 78.0 13-10-2021 19:33:05
1 41,17 4,03 0,31 0,80 0,00 53,68 58.0 13-10-2021 19:35:57
2 41,25 4,02 0,31 0,80 0,00 53,61 78.0 13-10-2021 19:36:07
3 41,33 4,02 0,31 0,80 0,00 53,53 79.0 13-10-2021 19:36:17
4 41,41 4,02 0,31 0,80 0,00 53,46 79.0 13-10-2021 19:36:27
5 41,49 4,02 0,31 0,80 0,00 53,39 79.0 13-10-2021 19:36:37
6 41,56 4,02 0,31 0,80 0,00 53,31 79.0 13-10-2021 19:36:47
7 41,64 4,01 0,31 0,80 0,00 53,24 78.0 13-10-2021 19:36:57
8 41,72 4,01 0,31 0,79 0,00 53,17 78.0 13-10-2021 19:37:08
9 41,79 4,01 0,31 0,79 0,00 53,09 78.0 13-10-2021 19:37:18
10 41,87 4,00 0,31 0,79 0,00 53,02 78.0 13-10-2021 19:37:28
11 41,95 4,00 0,31 0,79 0,00 52,95 78.0 13-10-2021 19:37:38
12 42,02 4,00 0,31 0,79 0,00 52,88 78.0 13-10-2021 19:37:48
1 42,80 3,97 0,30 0,78 0,00 52,14 62.0 13-10-2021 19:40:40
2 42,87 3,97 0,30 0,78 0,00 52,07 78.0 13-10-2021 19:40:50
3 42,95 3,97 0,30 0,78 0,00 52,00 78.0 13-10-2021 19:41:00
4 43,02 3,97 0,30 0,78 0,00 51,93 79.0 13-10-2021 19:41:10
5 43,09 3,97 0,30 0,78 0,00 51,86 79.0 13-10-2021 19:41:20
6 43,16 3,96 0,30 0,78 0,00 51,79 79.0 13-10-2021 19:41:30
7 43,23 3,96 0,30 0,78 0,00 51,73 78.0 13-10-2021 19:41:41
